CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,26500,,,,,,,25600,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,11300,,18300,15900,,,25700,,,,,,,,,11300,,,23300,23100,,,,24000,,,19200,,,,,,,,,,13000,26000,,,,,29300,,23000,,23600,,,,,,,,9100,,,,,,10300,51200,,,,,,,17000,,,,,,,,,,,,,,,,26800,,,,,,,32299,,,,,,,,,,10100,16400,,,,6500,,,,,,,,,,,,,,,11500,17300,,,,20900,,,,,25700,28900,,,,,,,,,,,7400,,,,,,,25400,,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.345177665,,,,,,,1.354497354,,,,,,,,,,,1.52173913,,,,,,,,,,,,,,,,,,1.686567164,,1.4296875,1.419642857,,,1.331606218,,,,,,,,,2.132075472,,,1.474683544,1.358823529,,,,1.26984127,,,1.56097561,,,,,,,,,,1.733333333,1.333333333,,,,,1.927631579,,1.292134831,,1.229166667,,,,,,,,1.97826087,,,,,,1.980769231,1.570552147,,,,,,,1.297709924,,,,,,,,,,,,,,,,1.480662983,,,,,,,1.631262626,,,,,,,,,,1.603174603,1.451327434,,,,1.274509804,,,,,,,,,,,,,,,1.642857143,1.587155963,,,,1.559701493,,,,,1.404371585,1.262008734,,,,,,,,,,,1.681818182,,,,,,,1.50295858,,1.384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.179332075,,,,,,,1.270065625,,,,,,,,,,,0.537157143,,,,,,,,,,,,,,,,,,,,,0.710090566,,,1.155022957,,,,,,,,,0.760456637,,,1.030962232,1.13530303,,,,1.460060417,,,0.785886979,,,,,,,,,,0.810378462,1.076860385,,,,,0.716550853,,0.969675217,,,,,,,,,,0.710213187,,,,,,0.602826214,0.748802539,,,,,,,1.163396471,,,,,,,,,,,,,,,,1.266950746,,,,,,,0.962055791,,,,,,,,,,1.09369604,0.946075,,,,0.758729231,,,,,,,,,,,,,,,0.714415652,0.904419653,,,,1.04952201,,,,,1.014211284,1.098538754,,,,,,,,,,,,,,,,,,1.478414567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,26000,,,,,,,25700,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,10700,,18100,15000,,,26300,,,,,,,,,10200,,,23500,23600,,,,23400,,,18400,,,,,,,,,,12500,26600,,,,,28300,,23000,,23300,,,,,,,,8400,,,,,,9100,49100,,,,,,,16900,,,,,,,,,,,,,,,,27300,,,,,,,31600,,,,,,,,,,9900,16400,,,,6000,,,,,,,,,,,,,,,11100,16900,,,,20600,,,,,25000,29300,,,,,,,,,,,7400,,,,,,,24800,,31600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.319796954,,,,,,,1.35978836,,,,,,,,,,,1.413043478,,,,,,,,,,,,,,,,,,1.597014925,,1.4140625,1.339285714,,,1.362694301,,,,,,,,,1.924528302,,,1.487341772,1.388235294,,,,1.238095238,,,1.495934959,,,,,,,,,,1.666666667,1.364102564,,,,,1.861842105,,1.292134831,,1.213541667,,,,,,,,1.826086957,,,,,,1.75,1.506134969,,,,,,,1.290076336,,,,,,,,,,,,,,,,1.508287293,,,,,,,1.595959596,,,,,,,,,,1.571428571,1.451327434,,,,1.176470588,,,,,,,,,,,,,,,1.585714286,1.550458716,,,,1.537313433,,,,,1.366120219,1.279475983,,,,,,,,,,,1.681818182,,,,,,,1.467455621,,1.35042735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.151447692,,,,,,,1.316147471,,,,,,,,,,,0.555284615,,,,,,,,,,,,,,,,,,,,,0.709838,,,1.156593156,,,,,,,,,0.793116667,,,1.012786809,1.15371822,,,,1.458848291,,,0.7350875,,,,,,,,,,0.8169304,1.019102256,,,,,0.708124735,,0.958543913,,,,,,,,,,0.736340476,,,,,,0.706683516,0.766821792,,,,,,,1.165062722,,,,,,,,,,,,,,,,1.253489744,,,,,,,0.95885538,,,,,,,,,,1.083433333,0.941048171,,,,0.805121667,,,,,,,,,,,,,,,0.765613514,0.905898817,,,,1.067114078,,,,,1.027726,1.087345051,,,,,,,,,,,,,,,,,,1.470402823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,24900,,,,,,,24500,,,,,,,,,,,5900,,,,,,,,,,,,,,,,,,10000,,17800,14500,,,25300,,,,,,,,,9200,,,22800,22800,,,,22900,,,17100,,,,,,,,,,11500,26100,,,,,26300,,23400,,22700,,,,,,,,7600,,,,,,8300,46200,,,,,,,16100,,,,,,,,,,,,,,,,26400,,,,,,,31800,,,,,,,,,,9400,15900,,,,5500,,,,,,,,,,,,,,,10400,15800,,,,19400,,,,,24200,28400,,,,,,,,,,,7400,,,,,,,23900,,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.263959391,,,,,,,1.296296296,,,,,,,,,,,1.282608696,,,,,,,,,,,,,,,,,,1.492537313,,1.390625,1.294642857,,,1.310880829,,,,,,,,,1.735849057,,,1.443037975,1.341176471,,,,1.211640212,,,1.390243902,,,,,,,,,,1.533333333,1.338461538,,,,,1.730263158,,1.314606742,,1.182291667,,,,,,,,1.652173913,,,,,,1.596153846,1.417177914,,,,,,,1.229007634,,,,,,,,,,,,,,,,1.458563536,,,,,,,1.606060606,,,,,,,,,,1.492063492,1.407079646,,,,1.078431373,,,,,,,,,,,,,,,1.485714286,1.449541284,,,,1.447761194,,,,,1.322404372,1.240174672,,,,,,,,,,,1.681818182,,,,,,,1.414201183,,1.324786325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.160577108,,,,,,,1.309941224,,,,,,,,,,,0.584840678,,,,,,,,,,,,,,,,,,,,,0.704953103,,,1.146132806,,,,,,,,,0.78568587,,,0.988177193,1.161689912,,,,1.437015284,,,0.692092398,,,,,,,,,,0.806382609,1.019837931,,,,,0.767789734,,0.950497009,,,,,,,,,,0.763892105,,,,,,0.730133735,0.789058658,,,,,,,1.170288199,,,,,,,,,,,,,,,,1.247101894,,,,,,,0.900660063,,,,,,,,,,1.108297872,0.860673585,,,,0.86822,,,,,,,,,,,,,,,0.799035577,0.929008228,,,,1.08202268,,,,,1.036324793,1.069649648,,,,,,,,,,,,,,,,,,1.491772385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,25100,,,,,,,24000,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,,9500,,16700,13500,,,25100,,,,,,,,,8600,,,22300,21900,,,,22400,,,16000,,,,,,,,,,10300,25100,,,,,25100,,22400,,22500,,,,,,,,7000,,,,,,7500,46600,,,,,,,16500,,,,,,,,,,,,,,,,25600,,,,,,,31400,,,,,,,,,,9200,15500,,,,5000,,,,,,,,,,,,,,,9500,15300,,,,18500,,,,,24300,28200,,,,,,,,,,,8000,,,,,,,22900,,30600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.274111675,,,,,,,1.26984127,,,,,,,,,,,1.173913043,,,,,,,,,,,,,,,,,,1.417910448,,1.3046875,1.205357143,,,1.300518135,,,,,,,,,1.622641509,,,1.411392405,1.288235294,,,,1.185185185,,,1.300813008,,,,,,,,,,1.373333333,1.287179487,,,,,1.651315789,,1.258426966,,1.171875,,,,,,,,1.52173913,,,,,,1.442307692,1.429447853,,,,,,,1.259541985,,,,,,,,,,,,,,,,1.414364641,,,,,,,1.585858586,,,,,,,,,,1.46031746,1.371681416,,,,0.980392157,,,,,,,,,,,,,,,1.357142857,1.403669725,,,,1.380597015,,,,,1.327868852,1.231441048,,,,,,,,,,,1.818181818,,,,,,,1.355029586,,1.307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.163311554,,,,,,,1.293141667,,,,,,,,,,,0.650590741,,,,,,,,,,,,,,,,,,,,,0.711514074,,,1.156307171,,,,,,,,,0.798460465,,,1.003377578,1.153429224,,,,1.441484375,,,0.70847375,,,,,,,,,,0.823316505,0.81915259,,,,,0.998511155,,0.970609375,,,,,,,,,,0.788928571,,,,,,0.801882667,0.758794206,,,,,,,1.123401818,,,,,,,,,,,,,,,,1.22265625,,,,,,,0.850810828,,,,,,,,,,1.080765217,0.849174194,,,,0.822542,,,,,,,,,,,,,,,0.846925263,0.798004575,,,,1.101278919,,,,,1.006893004,1.044165248,,,,,,,,,,,,,,,,,,1.487896507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,23500,,,,,,,21900,,,,,,,,,,,4900,,,,,,,,,,,,,,,,,,8600,,15500,12800,,,23300,,,,,,,,,7600,,,20400,20400,,,,21600,,,14700,,,,,,,,,,9600,24800,,,,,22500,,21100,,21300,,,,,,,,6500,,,,,,6900,42400,,,,,,,14900,,,,,,,,,,,,,,,,23300,,,,,,,25800,,,,,,,,,,8600,14500,,,,4700,,,,,,,,,,,,,,,9000,14400,,,,17100,,,,,22500,26500,,,,,,,,,,,7100,,,,,,,21200,,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.192893401,,,,,,,1.158730159,,,,,,,,,,,1.065217391,,,,,,,,,,,,,,,,,,1.28358209,,1.2109375,1.142857143,,,1.207253886,,,,,,,,,1.433962264,,,1.291139241,1.2,,,,1.142857143,,,1.195121951,,,,,,,,,,1.28,1.271794872,,,,,1.480263158,,1.185393258,,1.109375,,,,,,,,1.413043478,,,,,,1.326923077,1.300613497,,,,,,,1.13740458,,,,,,,,,,,,,,,,1.287292818,,,,,,,1.303030303,,,,,,,,,,1.365079365,1.283185841,,,,0.921568627,,,,,,,,,,,,,,,1.285714286,1.321100917,,,,1.276119403,,,,,1.229508197,1.15720524,,,,,,,,,,,1.613636364,,,,,,,1.25443787,,1.239316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,0.951269362,,,,,,,1.260924201,,,,,,,,,,,0.890557143,,,,,,,,,,,,,,,,,,,,,0.819901563,,,1.301839914,,,,,,,,,0.7367,,,1.008266176,0.968405392,,,,1.382587037,,,0.865878912,,,,,,,,,,0.65539375,0.760633871,,,,,0.885006222,,1.101548815,,,,,,,,,,0.714815385,,,,,,0.785617391,0.679630896,,,,,,,1.008349664,,,,,,,,,,,,,,,,1.195361373,,,,,,,0.976479457,,,,,,,,,,1.123852326,0.688686207,,,,0.693910638,,,,,,,,,,,,,,,0.677558889,0.893909722,,,,1.025605848,,,,,0.887818667,1.069366038,,,,,,,,,,,,,,,,,,1.141060377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,22400,,,,,,,20900,,,,,,,,,,,4700,,,,,,,,,,,,,,,,,,8600,,14600,12300,,,22400,,,,,,,,,7200,,,19300,19500,,,,20700,,,14100,,,,,,,,,,9100,23800,,,,,20500,,20400,,20800,,,,,,,,6200,,,,,,6900,37000,,,,,,,14100,,,,,,,,,,,,,,,,21800,,,,,,,23500,,,,,,,,,,8100,13500,,,,4500,,,,,,,,,,,,,,,8800,13400,,,,16200,,,,,20900,25800,,,,,,,,,,,7300,,,,,,,20300,,27300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.137055838,,,,,,,1.105820106,,,,,,,,,,,1.02173913,,,,,,,,,,,,,,,,,,1.28358209,,1.140625,1.098214286,,,1.160621762,,,,,,,,,1.358490566,,,1.221518987,1.147058824,,,,1.095238095,,,1.146341463,,,,,,,,,,1.213333333,1.220512821,,,,,1.348684211,,1.146067416,,1.083333333,,,,,,,,1.347826087,,,,,,1.326923077,1.134969325,,,,,,,1.076335878,,,,,,,,,,,,,,,,1.20441989,,,,,,,1.186868687,,,,,,,,,,1.285714286,1.194690265,,,,0.882352941,,,,,,,,,,,,,,,1.257142857,1.229357798,,,,1.208955224,,,,,1.142076503,1.126637555,,,,,,,,,,,1.659090909,,,,,,,1.201183432,,1.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,0.987534821,,,,,,,1.312710526,,,,,,,,,,,0.946551064,,,,,,,,,,,,,,,,,,,,,0.818045528,,,1.358854018,,,,,,,,,0.769316667,,,1.041130052,0.986848205,,,,1.416744928,,,0.878429787,,,,,,,,,,0.677867033,0.794198319,,,,,0.944745366,,1.162732353,,,,,,,,,,0.779798387,,,,,,0.780894203,0.769811351,,,,,,,,,,,,,,,,,,,,,,,1.257590826,,,,,,,1.039850638,,,,,,,,,,0.936762963,0.727232593,,,,0.78812,,,,,,,,,,,,,,,0.745881818,0.932374627,,,,1.081089506,,,,,0.947281818,1.072896124,,,,,,,,,,,,,,,,,,1.188966502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
